epoch,train_mse,validation_normal_mse
1,1.0346732316538692,1.0491901636123657
2,0.5825078946072608,0.2321549952030182
3,0.24525256222113967,0.16082438826560974
4,0.16680376802105457,0.15520864725112915
5,0.13361527700908482,0.1354111135005951
6,0.10473892721347511,0.10464916378259659
7,0.07495680416468531,0.06955172121524811
8,0.05348414491163567,0.06117089465260506
9,0.042899406573269516,0.054561764001846313
10,0.035501627484336495,0.04981633275747299
11,0.02923417737474665,0.039978381246328354
12,0.024336380767636,0.03341573849320412
13,0.02058381328242831,0.03703782334923744
14,0.01782956437091343,0.0345294363796711
15,0.01580997943528928,0.03386068344116211
16,0.014349838325870223,0.035232145339250565
17,0.013293738651555032,0.03050832636654377
18,0.012472135676944163,0.031213996931910515
19,0.011796416307333857,0.03135712817311287
20,0.011277330449956935,0.03232520818710327
21,0.010898291853663977,0.03094743750989437
22,0.010601845468045212,0.03413098677992821
23,0.010412859548523556,0.029009191319346428
24,0.010173823320656084,0.028822945430874825
25,0.010018833105277736,0.027540070936083794
26,0.009819050013902597,0.02807040326297283
27,0.009714129242638592,0.030070414766669273
28,0.00960470186691964,0.027639446780085564
29,0.009498021245235577,0.029631927609443665
30,0.009422829236427788,0.028907135128974915
31,0.009376676425745245,0.025167016312479973
32,0.009269469112041406,0.027252256870269775
33,0.009171220430289395,0.028151841834187508
34,0.009093580418266356,0.02738758735358715
35,0.009068114406545646,0.024016395211219788
36,0.008978497018688358,0.026734668761491776
37,0.008919475396396592,0.02467499114573002
38,0.00881769635452656,0.024576032534241676
39,0.008742723024624866,0.02736617438495159
40,0.008836904802592471,0.023755105212330818
41,0.008524092540028505,0.024370627477765083
42,0.008455979397695046,0.022943317890167236
43,0.008350548581802286,0.024478206411004066
44,0.008051188386161812,0.02404692769050598
45,0.007946784564410336,0.022372892126441002
46,0.007797440983267734,0.02162480540573597
47,0.0077004997147014365,0.023367514833807945
48,0.0075697330685216,0.021979885175824165
49,0.00746430454091751,0.021251007914543152
50,0.00741982236286276,0.01901792734861374
51,0.007301936533622211,0.021267566829919815
52,0.007153177029977087,0.020617730915546417
53,0.007061625412461581,0.019523069262504578
54,0.006955729520996101,0.01912740245461464
55,0.006825418779044412,0.018557874485850334
56,0.006708678694849368,0.020473377779126167
57,0.006647253474511672,0.01964092068374157
58,0.006580707067769254,0.018653538078069687
59,0.0063777713949093595,0.019283676519989967
60,0.006229343278391752,0.017829209566116333
61,0.00613962392162648,0.018056461587548256
62,0.00603550294181332,0.01719820313155651
63,0.005957049623248167,0.01739439181983471
64,0.0058289856497140136,0.017971770837903023
65,0.005715801100450335,0.01772691309452057
66,0.005594608661340317,0.015497883781790733
67,0.005500119306816487,0.016208233311772346
68,0.005399999674409628,0.017353734001517296
69,0.00525539709997247,0.016797170042991638
70,0.005133660441060783,0.015904312953352928
71,0.005007074232707964,0.016925591975450516
72,0.004869657695962815,0.01690567284822464
73,0.004729157579276944,0.01621534675359726
74,0.0046341607194335666,0.015344799496233463
75,0.0045414512569550425,0.017122047021985054
76,0.004461438555154018,0.015968626365065575
77,0.004383732139103813,0.014922748319804668
78,0.004324790636019316,0.016109419986605644
79,0.004260221121512586,0.016952374950051308
80,0.00422460496884014,0.016216082498431206
81,0.004203180622425862,0.013555863872170448
82,0.004151625842496287,0.01739303208887577
83,0.00408425763816922,0.01604950986802578
84,0.004062740626977757,0.014388707466423512
85,0.003980692505137995,0.013468214310705662
86,0.003948676127038198,0.01577002927660942
87,0.0038830804423923837,0.013005806133151054
88,0.0038646508437523153,0.014795091934502125
89,0.0038199653681658674,0.013056440278887749
90,0.0038378872886823956,0.013301900587975979
91,0.0037423285430122633,0.014707268215715885
92,0.0037157367514737416,0.01460894476622343
93,0.003670547615911346,0.015472744591534138
94,0.0036456511934375158,0.01350325532257557
95,0.0036062424078409094,0.014076330699026585
96,0.0035587841703090817,0.015034644864499569
97,0.0035826010898745153,0.013661909848451614
98,0.0035445091234578285,0.015229874290525913
99,0.0035619922800833592,0.014585182070732117
100,0.0035073550388915464,0.015712840482592583
101,0.003526866414176766,0.013762916438281536
102,0.0034569552772154566,0.01308486983180046
103,0.0034250866210641107,0.011327317915856838
104,0.0034622738385223784,0.011063727550208569
105,0.0033961975532292854,0.013417130336165428
106,0.0033850426007120404,0.014477729797363281
107,0.0034389686461508973,0.011690622195601463
108,0.0033644408995314734,0.011832855641841888
109,0.0033158375845232513,0.010564092546701431
110,0.003301338801975362,0.011310413479804993
111,0.003295658299975912,0.01419348269701004
112,0.0032635398383717984,0.012109128758311272
113,0.0032855227782420116,0.011083430610597134
114,0.003229655549148447,0.010035568848252296
115,0.003236579093936598,0.00989842414855957
116,0.003253339797083754,0.011726900935173035
117,0.003199849401426036,0.01197320781648159
118,0.003185304183716653,0.012333102524280548
119,0.0031616691485396586,0.009209979325532913
120,0.0031607019063812913,0.00960969366133213
121,0.003131680119622615,0.01045585423707962
122,0.003135903052680078,0.010134055279195309
123,0.0030756590949749807,0.009391204454004765
124,0.0030659760341222864,0.010800224728882313
125,0.0030723223007953493,0.008736291900277138
126,0.003039715185877867,0.007816926576197147
127,0.0030628274707851233,0.00878364872187376
128,0.0029993650587130105,0.008918345905840397
129,0.0030318208737298846,0.009247461333870888
130,0.00299060875113355,0.010226965881884098
131,0.0029517887141992105,0.008750219829380512
132,0.002930948832727154,0.009099017828702927
133,0.0029256571742735105,0.008371631614863873
134,0.0029257999231049325,0.009450479410588741
135,0.0028714099444187013,0.00786307267844677
136,0.0028627272477024235,0.009459063410758972
137,0.0028280297283345135,0.008137378841638565
138,0.002772158610241604,0.008813021704554558
139,0.0027015580035367748,0.008643407374620438
140,0.002684374821910751,0.008098510093986988
141,0.0026448301687196363,0.008051327429711819
142,0.002646415401613922,0.008637276478111744
143,0.0025655037479737075,0.007906478829681873
144,0.0025455248505750205,0.008990026079118252
145,0.002512289842343307,0.008286818861961365
146,0.0024898105111788027,0.008018969558179379
